	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Even-100_crushgrindv-1	Even	100_crushgrindv	tʃ i l q aˤ/a ʕ	even1260	eve	1033	GRIND	100_crushgrindv-372	
1	Even-100_crushgrindv-2	Even	100_crushgrindv	t iː m r e + l	even1260	eve	1033	GRIND	100_crushgrindv-377	
2	Even-100_crushgrindv-3	Even	100_crushgrindv	ħ u r u ŋ	even1260	eve	1033	GRIND	100_crushgrindv-378	
3	Even-101_mountainhilln-1	Even	101_mountainhilln	u r e k tʃ e n	even1260	eve	2118	MOUNTAIN OR HILL	101_mountainhilln-383	
4	Even-102_sitv-1	Even	102_sitv	t e ɣ e tʃ	even1260	eve	1416	SIT	102_sitv-385	
5	Even-102_sitv-2	Even	102_sitv	t e ɣ e t	even1260	eve	1416	SIT	102_sitv-385	
6	Even-103_fingernailn-1	Even	103_fingernailn	oˤ/o ʕ s t aˤ/a ʕ	even1260	eve	1258	FINGERNAIL	103_fingernailn-386	
7	Even-104_throwv-1	Even	104_throwv	n oˁː/oː d aˤ/a ʕ	even1260	eve	1456	THROW	104_throwv-388	
8	Even-105_three-1	Even	105_three	iˤ/i ʕ l e n	even1260	eve	492	THREE	105_three-398	
9	Even-106_right-1	Even	106_right	aːˁ n g aˤ/a ʕ ɣ	even1260	eve	1019	RIGHT	106_right-399	
10	Even-107_washv-1	Even	107_washv	aˤ/a ʕ w	even1260	eve	1453	WASH	107_washv-404	
11	Even-108_graspv-1	Even	108_graspv	dʒ aˤ/a ʕ w	even1260	eve	2021	GRASP	108_graspv-406	
12	Even-108_graspv-2	Even	108_graspv	ħ e p k u	even1260	eve	2021	GRASP	108_graspv-407	
13	Even-109_branchn-1	Even	109_branchn	g aˤ/a ʕ r	even1260	eve	1531	BRANCH	109_branchn-408	
14	Even-10_rootn-1	Even	10_rootn	ŋ eː ŋ t e	even1260	eve	670	ROOT	10_rootn-19	
15	Even-110_mann-1	Even	110_mann	ɲ aˤ/a ʕ r iˤ/i ʕ	even1260	eve	1554	MAN	110_mann-413	
16	Even-111_raw-1	Even	111_raw	ɲ aːˁ ɫ/lˠ aˤ/a ʕ q tʃ aˤ/a ʕ	even1260	eve	1959	RAW	111_raw-417	
17	Even-111_raw-2	Even	111_raw	e s e k tʃ e	even1260	eve	1959	RAW	111_raw-419	
18	Even-112_tomorrow-1	Even	112_tomorrow	t iˤ/i ʕ m iˤ/i ʕ n	even1260	eve	1329	TOMORROW	112_tomorrow-420	
19	Even-112_tomorrow-2	Even	112_tomorrow	t iˤ/i ʕ m iˤ/i ʕ n aˤ/a ʕ	even1260	eve	1329	TOMORROW	112_tomorrow-420	
20	Even-113_two-1	Even	113_two	dʒ o r	even1260	eve	1498	TWO	113_two-422	
21	Even-114_bottomn-1	Even	114_bottomn	ħ e r	even1260	eve	690	BOTTOM	114_bottomn-423	
22	Even-115_liedownv-1	Even	115_liedownv	d e s tʃ i	even1260	eve	215	LIE DOWN	115_liedownv-429	
23	Even-116_snaken-1	Even	116_snaken	dʒ aˤ/a ʕ b d aˤ/a ʕ	even1260	eve	730	SNAKE	116_snaken-433	
24	Even-117_cloudn-1	Even	117_cloudn	t o ɣ e tʃ i n	even1260	eve	1489	CLOUD	117_cloudn-435	
25	Even-118_yearn-1	Even	118_yearn	aˤ/a ʕ n ŋ aˤ/a ʕ n	even1260	eve	1226	YEAR	118_yearn-436	
26	Even-119_tearv-1	Even	119_tearv	t e k e l	even1260	eve	1735	TEAR (SHRED)	119_tearv-442	
27	Even-119_tearv-2	Even	119_tearv	k u r i	even1260	eve	1735	TEAR (SHRED)	119_tearv-443	
28	Even-11_comev-1	Even	11_comev	e m	even1260	eve	1446	COME	11_comev-23	
29	Even-120_askv-1	Even	120_askv	t iˁ aˁ r uˤ/u ʕ	even1260	eve	1828	ASK (REQUEST)	120_askv-451	
30	Even-120_askv-2	Even	120_askv	ħ eː r	even1260	eve	1828	ASK (REQUEST)	120_askv-453	
31	Even-121_weavev-1	Even	121_weavev	i n ŋ e	even1260	eve	133	WEAVE	121_weavev-454	
32	Even-122_at-1	Even	122_at	d uˤ/u ʕ	even1260	eve	1461	AT	122_at-462	
33	Even-122_at-2	Even	122_at	d u	even1260	eve	1461	AT	122_at-462	
34	Even-122_at-3	Even	122_at	t uˤ/u ʕ	even1260	eve	1461	AT	122_at-462	
35	Even-122_at-4	Even	122_at	t u	even1260	eve	1461	AT	122_at-462	
36	Even-123_edgen-1	Even	123_edgen	k iˤ/i ʕ r aˤ/a ʕ ɣ	even1260	eve	863	EDGE	123_edgen-465	
37	Even-123_edgen-2	Even	123_edgen	k iˤ/i ʕ r aˤ/a ʕ n	even1260	eve	863	EDGE	123_edgen-465	
38	Even-123_edgen-3	Even	123_edgen	dʒ e j e n	even1260	eve	863	EDGE	123_edgen-470	
39	Even-124_chinn-1	Even	124_chinn	k e w e	even1260	eve	1510	CHIN	124_chinn-477	
40	Even-125_playv-1	Even	125_playv	e w i	even1260	eve	1413	PLAY	125_playv-478	
41	Even-125_playv-2	Even	125_playv	e j u	even1260	eve	1413	PLAY	125_playv-478	
42	Even-126_cheekn-1	Even	126_cheekn	e l r e k e n	even1260	eve	1730	CHEEK	126_cheekn-488	
43	Even-126_cheekn-2	Even	126_cheekn	e l r e k e n	even1260	eve	1730	CHEEK	126_cheekn-488	
44	Even-127_pusn-1	Even	127_pusn	ɲ aːˁ s	even1260	eve	1808	PUS	127_pusn-490	
45	Even-128_flyv-1	Even	128_flyv	d e g	even1260	eve	1441	FLY (MOVE THROUGH AIR)	128_flyv-492	
46	Even-129_holen-1	Even	129_holen	ħ aˤ/a ʕ ŋ aˤ/a ʕ r	even1260	eve	1667	HOLE	129_holen-494	
47	Even-12_breastnchestn-1	Even	12_breastnchestn	t i ŋ e n	even1260	eve	1402	BREAST	12_breastnchestn-27	
48	Even-130_growv-1	Even	130_growv	b aˤ/a ʕ l d aˤ/a ʕ + w aˤ/a ʕ tʃ	even1260	eve	479	GROW	130_growv-498	
49	Even-130_growv-2	Even	130_growv	b aˤ/a ʕ l d aˤ/a ʕ + w aˤ/a ʕ t	even1260	eve	479	GROW	130_growv-498	
50	Even-131_headn-1	Even	131_headn	d iˤ/i ʕ l	even1260	eve	1256	HEAD	131_headn-506	
51	Even-132_bellyn-1	Even	132_bellyn	u r	even1260	eve	1251	BELLY	132_bellyn-511	
52	Even-132_bellyn-2	Even	132_bellyn	ħ u k t e	even1260	eve	1251	BELLY	132_bellyn-512	
53	Even-133_shouldern-1	Even	133_shouldern	m iː r	even1260	eve	1482	SHOULDER	133_shouldern-514	
54	Even-134_clawn-1	Even	134_clawn	oˤ/o ʕ s t aˤ/a ʕ	even1260	eve	72	CLAW	134_clawn-516	
55	Even-134_clawn-2	Even	134_clawn	ħ oˤ/o ʕ ɣ aˤ/a ʕ r	even1260	eve	72	CLAW	134_clawn-520	
56	Even-135_which-1	Even	135_which	i aˁ q aˤ/a ʕ wː uˤ/u ʕ	even1260	eve	727	WHICH	135_which-523	
57	Even-135_which-2	Even	135_which	aˤ/a ʕ wː uˤ/u ʕ w	even1260	eve	727	WHICH	135_which-526	
58	Even-135_which-3	Even	135_which	aˤ/a ʕ w uˤ/u ʕ w	even1260	eve	727	WHICH	135_which-526	
59	Even-135_which-4	Even	135_which	i r e k	even1260	eve	727	WHICH	135_which-527	
60	Even-136_digv-1	Even	136_digv	u l	even1260	eve	1418	DIG	136_digv-531	
61	Even-136_digv-2	Even	136_digv	tʃ oˤ/o ʕ ŋ q aˤ/a ʕ	even1260	eve	1418	DIG	136_digv-532	
62	Even-137_pullv-1	Even	137_pullv	t aːˁ n	even1260	eve	1455	PULL	137_pullv-534	
63	Even-138_hot-1	Even	138_hot	ħ o k	even1260	eve	1286	HOT	138_hot-539	
64	Even-138_hot-2	Even	138_hot	ħ o k + ħ i	even1260	eve	1286	HOT	138_hot-539	
65	Even-138_hot-3	Even	138_hot	ħ o k + tʃ i	even1260	eve	1286	HOT	138_hot-539	
66	Even-139_firewoodn-1	Even	139_firewoodn	m oˁː/oː	even1260	eve	10	FIREWOOD	139_firewoodn-544	
67	Even-13_rainn-1	Even	13_rainn	uˤ/u ʕ d aˤ/a ʕ n	even1260	eve	658	RAIN (PRECIPITATION)	13_rainn-33	
68	Even-140_remainv-1	Even	140_remainv	e m e + b	even1260	eve	987	REMAIN	140_remainv-554	
69	Even-140_remainv-2	Even	140_remainv	e m e + p	even1260	eve	987	REMAIN	140_remainv-554	
70	Even-140_remainv-3	Even	140_remainv	b oˤ/o ʕ q uˤ/u ʕ	even1260	eve	987	REMAIN	140_remainv-555	
71	Even-141_cold-1	Even	141_cold	i ŋ e ɲ	even1260	eve	1287	COLD	141_cold-558	
72	Even-141_cold-2	Even	141_cold	i ŋ e ɲ + ħ i	even1260	eve	1287	COLD	141_cold-558	
73	Even-142_feathern-1	Even	142_feathern	iˤ/i ʕ n ŋ e t	even1260	eve	1201	FEATHER	142_feathern-567	
74	Even-143_coughv-1	Even	143_coughv	ħ i/j e m k e	even1260	eve	879	COUGH	143_coughv-570	
75	Even-144_thin-1	Even	144_thin	n e m k u n	even1260	eve	2308	THIN	144_thin-572	
76	Even-144_thin-2	Even	144_thin	k iˁ aˁ ŋ aˤ/a ʕ s	even1260	eve	2308	THIN	144_thin-574	
77	Even-144_thin-3	Even	144_thin	ħ i l u m k u n	even1260	eve	2308	THIN	144_thin-575	
78	Even-145_grassn-1	Even	145_grassn	oˤ/o ʕ r aːˁ t	even1260	eve	606	GRASS	145_grassn-579	
79	Even-146_foamn-1	Even	146_foamn	tʃ oˤ/o ʕ ɣ l iˤ/i ʕ q aˤ/a ʕ	even1260	eve	1768	FOAM	146_foamn-586	
80	Even-148_full-1	Even	148_full	m i l t e r e	even1260	eve	1429	FULL	148_full-598	
81	Even-148_full-2	Even	148_full	t oˤ/o ʕ l iˤ/i ʕ	even1260	eve	1429	FULL	148_full-600	
82	Even-149_dayn-1	Even	149_dayn	i n e ŋ	even1260	eve	1225	DAY (NOT NIGHT)	149_dayn-601	
83	Even-14_1sgpronoun-1	Even	14_1sgpronoun	b iː	even1260	eve	1209	I	14_1sgpronoun-35	
84	Even-150_sleepv-1	Even	150_sleepv	ħ u k l e	even1260	eve	1585	SLEEP	150_sleepv-607	
85	Even-151_monthn-1	Even	151_monthn	b iˁ aˁ ɣ	even1260	eve	1370	MONTH	151_monthn-608	
86	Even-151_monthn-2	Even	151_monthn	aˤ/a ʕ t q iˤ/i ʕ q aˤ/a ʕ n	even1260	eve	1370	MONTH	151_monthn-609	
87	Even-152_white-1	Even	152_white	g iˤ/i ʕ l t aˤ/a ʕ ɲ aˤ/a ʕ	even1260	eve	1335	WHITE	152_white-613	
88	Even-152_white-2	Even	152_white	ɲ oˁː/oː b aˤ/a ʕ t iˤ/i ʕ	even1260	eve	1335	WHITE	152_white-614	
89	Even-153_sewv-1	Even	153_sewv	ħ aˤ/a ʕ ŋ aˤ/a ʕ n	even1260	eve	1457	SEW	153_sewv-618	
90	Even-154_killv-1	Even	154_killv	m aːˁ	even1260	eve	1417	KILL	154_killv-619	
91	Even-155_jumpv-1	Even	155_jumpv	iˤ/i ʕ r q uˤ/u ʕ n	even1260	eve	1829	JUMP	155_jumpv-621	
92	Even-155_jumpv-2	Even	155_jumpv	m e l u ŋ tʃ i	even1260	eve	1829	JUMP	155_jumpv-625	
93	Even-155_jumpv-3	Even	155_jumpv	dʒ e l ŋ e m e tʃ	even1260	eve	1829	JUMP	155_jumpv-626	
94	Even-155_jumpv-4	Even	155_jumpv	dʒ e l ŋ e m e t	even1260	eve	1829	JUMP	155_jumpv-626	
95	Even-155_jumpv-5	Even	155_jumpv	dʒ i l ŋ e m e tʃ	even1260	eve	1829	JUMP	155_jumpv-626	
96	Even-155_jumpv-6	Even	155_jumpv	dʒ i l ŋ e m e t	even1260	eve	1829	JUMP	155_jumpv-626	
97	Even-155_jumpv-7	Even	155_jumpv	t uˁː/uː s aˤ/a ʕ n	even1260	eve	1829	JUMP	155_jumpv-627	
98	Even-156_throatn-1	Even	156_throatn	b iˤ/i ʕ l g aˤ/a ʕ	even1260	eve	1346	THROAT	156_throatn-634	
99	Even-157_woodsforestn-1	Even	157_woodsforestn	iˤ/i ʕ s aˤ/a ʕ ɣ	even1260	eve	420	FOREST	157_woodsforestn-646	
100	Even-158_there-1	Even	158_there	t aˤ/a ʕ d uˤ/u ʕ	even1260	eve	1937	THERE	158_there-649	
101	Even-159_findv-1	Even	159_findv	b aˤ/a ʕ q	even1260	eve	719	FIND	159_findv-651	
102	Even-15_namen-1	Even	15_namen	g e r b e	even1260	eve	1405	NAME	15_namen-36	
103	Even-160_flowv-1	Even	160_flowv	n u b l i	even1260	eve	2003	FLOW	160_flowv-654	
104	Even-160_flowv-2	Even	160_flowv	n u p l i	even1260	eve	2003	FLOW	160_flowv-654	
105	Even-161_many-1	Even	161_many	oˁː/oː q iˤ/i ʕ + d aˤ/a ʕ	even1260	eve	1198	MANY	161_many-661	
