	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	abui-100_fat-1	abui	100_fat	t a m a d a	abui1241	abz	323.0	FAT (ORGANIC SUBSTANCE)	100_fat-7	
1	abui-101_father-1	abui	101_father	m a m a	abui1241	abz	1217.0	FATHER	101_father-2	
3	abui-103_feverish-1	abui	103_feverish	k a m u r a	abui1241	abz	1847.0	SICK	103_feverish-0	
4	abui-104_field-1	abui	104_field	r o l	abui1241	abz	212.0	FIELD	104_field-5	
6	abui-106_fingernail-1	abui	106_fingernail	t a t a ŋ + k u s i ŋ	abui1241	abz	1258.0	FINGERNAIL	106_fingernail-4	
7	abui-107_fire-1	abui	107_fire	a r a	abui1241	abz	221.0	FIRE	107_fire-0	
9	abui-109_fish-1	abui	109_fish	a f u	abui1241	abz	227.0	FISH	109_fish-0	
10	abui-10_arrow-1	abui	10_arrow	p u l a ŋ	abui1241	abz	977.0	ARROW	10_arrow-8	
13	abui-110_fishtrap-1	abui	110_fishtrap	ʔ t e r e	abui1241	abz	389.0	FISH TRAP	110_fishtrap-4	
15	abui-112_five-1	abui	112_five	j e t i ŋ	abui1241	abz	493.0	FIVE	112_five-0	
16	abui-113_flat-1	abui	113_flat	t a l u o l a	abui1241	abz	1633.0	FLAT	113_flat-7	
17	abui-114_flea-1	abui	114_flea	t u k o t a	abui1241	abz	232.0	FLEA	114_flea-6	
18	abui-115_fleshmeat-1	abui	115_fleshmeat	m a h i t i ŋ	abui1241	abz	2615.0	FLESH OR MEAT	115_fleshmeat-8	
19	abui-116_float-1	abui	116_float	t a u i t i	abui1241	abz	1574.0	FLOAT	116_float-5	
20	abui-117_flower-1	abui	117_flower	k i k i	abui1241	abz	239.0	FLOWER	117_flower-5	
21	abui-118_fly-1	abui	118_fly	l i ʔ	abui1241	abz	1441.0	FLY (MOVE THROUGH AIR)	118_fly-1	
22	abui-119_flyn-1	abui	119_flyn	f u ŋ f a i	abui1241	abz	1504.0	FLY (INSECT)	119_flyn-6	
23	abui-11_ash-1	abui	11_ash	a r u i	abui1241	abz	646.0	ASH	11_ash-3	
24	abui-120_foam-1	abui	120_foam	b a ʔ l a k i ŋ	abui1241	abz	1768.0	FOAM	120_foam-7	
26	abui-122_forest-1	abui	122_forest	a t i ŋ	abui1241	abz	420.0	FOREST	122_forest-8	
27	abui-123_four-1	abui	123_four	b u t i	abui1241	abz	1500.0	FOUR	123_four-4	
28	abui-124_frog-1	abui	124_frog	dʒ a k o r a k o r a	abui1241	abz	503.0	FROG	124_frog-6	
29	abui-125_fruit-1	abui	125_fruit	i t i	abui1241	abz	1507.0	FRUIT	125_fruit-0	
30	abui-126_full-1	abui	126_full	v e m i d i	abui1241	abz	1429.0	FULL	126_full-6	
31	abui-127_garden-1	abui	127_garden	ʔ u t i	abui1241	abz	586.0	GARDEN	127_garden-6	
32	abui-128_good-1	abui	128_good	k a ŋ	abui1241	abz	1035.0	GOOD	128_good-5	
33	abui-129_grandchild-1	abui	129_grandchild	n e r a k b e k a	abui1241	abz	1617.0	GRANDCHILD	129_grandchild-6	
34	abui-12_askquestion-1	abui	12_askquestion	t a t a h a ŋ	abui1241	abz	1309.0	ASK (INQUIRE)	12_askquestion-4	
36	abui-131_grandmother-1	abui	131_grandmother	n e k u t a	abui1241	abz	1496.0	GRANDMOTHER	131_grandmother-7	
37	abui-132_grassbrush-1	abui	132_grassbrush	k u p e	abui1241	abz	606.0	GRASS	132_grassbrush-7	
38	abui-133_grasshopper-1	abui	133_grasshopper	t u n u i	abui1241	abz	607.0	GRASSHOPPER	133_grasshopper-2	
40	abui-135_green-1	abui	135_green	w a l a ŋ a i	abui1241	abz	1425.0	GREEN	135_green-8	
41	abui-136_grow-1	abui	136_grow	m e r a ŋ	abui1241	abz	479.0	GROW	136_grow-6	
42	abui-137_gumtreeeucalyptus-1	abui	137_gumtreeeucalyptus	p u o k d a i	abui1241	abz	3007.0	EUCALYPT	137_gumtreeeucalyptus-4	
43	abui-138_guts-1	abui	138_guts	t a t e b a k	abui1241	abz	1334.0	GUTS	138_guts-7	
44	abui-13_axe-1	abui	13_axe	f a l i ŋ	abui1241	abz	677.0	AXE	13_axe-7	
46	abui-141_head-1	abui	141_head	t i a k a i	abui1241	abz	1256.0	HEAD	141_head-4	
47	abui-142_headlice-1	abui	142_headlice	b i k i a ŋ	abui1241	abz	310.0	HEAD LOUSE	142_headlice-4	
